    taille,      diag,     iters,     norme,     temps,     t_cpu, N_threads
1201,800,104,0.196065730638019E-015,0.972000000000000,0.972682000000000,1
1201,800,104,0.214517389159501E-015,0.479000000000000,0.941566000000000,2
1201,800,104,0.203348933208526E-015,0.335000000000000,0.988616000000000,3
1201,800,104,0.189222573320617E-015,0.268000000000000,1.02332400000000,4
1201,800,104,0.184346778030273E-015,0.210000000000000,1.03948000000000,5
1201,800,104,0.189387257401645E-015,0.192000000000000,1.11750000000000,6
1201,800,104,0.181612755974085E-015,0.134000000000000,1.06021800000000,8
